id,latitude,longitude,location,vehicle_number,vehicle_type,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID018876,12.9734759,77.5792955,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL17757,SCOOTER,"[""NO PARKING""]",[113],2024-01-12 10:35:46+05:30,,2024-01-14 12:11:51.204359+05:30,FKDEV00128,FKUSR00128,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL17757,SCOOTER,approved,2024-01-15 11:19:45.925000+05:30
FKID177586,12.9782908,77.5788548,"4th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL31543,CAR,"[""WRONG PARKING""]",[112],2023-12-12 01:33:46+05:30,,2023-12-12 01:52:53.602319+05:30,FKDEV00382,FKUSR00379,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL31543,CAR,approved,2023-12-12 02:52:32.672000+05:30
FKID289977,12.9767149,77.5799585,"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL227363,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-11-28 09:55:46+05:30,,2023-11-28 11:57:56.907748+05:30,FKDEV00881,FKUSR00202,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL227363,MOTOR CYCLE,approved,2023-11-29 03:42:09.982000+05:30
FKID179398,12.9763317,77.5765287,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL118966,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-12-13 05:57:46+05:30,,2023-12-13 06:03:46.351224+05:30,FKDEV00349,FKUSR00346,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL118966,MOTOR CYCLE,approved,2023-12-17 09:24:47.474000+05:30
FKID189935,12.9735068,77.5800655,"Allahabad Bank, 2, Kempegowda Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL155872,JEEP,"[""NO PARKING""]",[113],2023-12-15 05:24:46+05:30,,2023-12-15 05:29:12.570620+05:30,FKDEV00130,FKUSR00130,3,Upparpet,True,BTP038 - Mysore Bank Junction,,,FKN00GL155872,JEEP,approved,2023-12-18 10:19:00.727000+05:30
FKID255857,12.9790077,77.5804584,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL203720,MOTOR CYCLE,"[""NO PARKING""]",[113],2024-01-19 02:22:46+05:30,,2024-01-19 02:51:24.069633+05:30,FKDEV01378,FKUSR01311,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL203721,MOTOR CYCLE,approved,2024-01-20 07:16:59.790000+05:30
FKID289892,12.9773059,77.5755015,"1st Cross Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL227296,CAR,"[""WRONG PARKING""]",[112],2024-03-12 03:00:46+05:30,,2024-03-12 03:10:36.386762+05:30,FKDEV00202,FKUSR00202,3,Upparpet,True,BTP045 - Danvanthri Road Junction,,2024-03-29 01:11:11.985735+05:30,FKN00GL227296,CAR,approved,2024-04-04 03:15:51.798000+05:30
FKID211040,12.9732674,77.5786657,"2nd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL171706,CAR,"[""WRONG PARKING""]",[112],2023-12-29 12:16:46+05:30,,2023-12-29 14:05:59.497217+05:30,FKDEV00236,FKUSR00235,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL171706,CAR,approved,2023-12-30 01:42:03.267000+05:30
FKID238162,12.9802833,77.5793083,"Seshadri Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL114119,PRIVATE BUS,"[""NO PARKING"",""PARKING IN A MAIN ROAD""]","[113,107]",2024-01-09 03:46:46+05:30,,2024-01-10 12:24:02.832621+05:30,FKDEV00589,FKUSR00573,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL114119,PRIVATE BUS,approved,2024-01-11 05:54:10.434000+05:30
FKID159523,12.9752738,77.5747728,"Major T Ramachandrappa Road, Subash Nagar, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL132415,PASSENGER AUTO,"[""WRONG PARKING""]",[112],2023-11-16 07:40:46+05:30,,2023-11-16 08:35:53.300112+05:30,FKDEV00018,FKUSR00018,3,Upparpet,True,BTP045 - Danvanthri Road Junction,,,FKN00GL132415,PASSENGER AUTO,approved,2023-11-17 03:27:05.732000+05:30
FKID187326,12.9771007,77.5764621,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL40251,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-12-14 08:59:46+05:30,,2023-12-14 09:02:19.771844+05:30,FKDEV00018,FKUSR00018,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL40251,MOTOR CYCLE,approved,2023-12-15 06:25:36.269000+05:30
FKID233742,12.9773086,77.5763997,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL15265,MOTOR CYCLE,"[""NO PARKING""]",[113],2024-01-06 08:57:46+05:30,,2024-01-06 09:22:59.534571+05:30,FKDEV00126,FKUSR00126,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL15265,MOTOR CYCLE,approved,2024-01-07 05:21:18.205000+05:30
FKID138487,12.9789683,77.5808055,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL115387,SCOOTER,"[""WRONG PARKING""]",[112],2023-12-03 10:13:46+05:30,,2023-12-03 10:14:50.185626+05:30,FKDEV00020,FKUSR00020,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL115387,SCOOTER,approved,2023-12-04 05:30:46.299000+05:30
FKID182898,12.9744585,77.5773944,"Kempegowda Road, Alankar Pearl Plaza, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL150503,SCOOTER,"[""WRONG PARKING""]",[112],2023-11-24 08:16:46+05:30,,2023-11-24 08:18:33.226031+05:30,FKDEV00130,FKUSR00018,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL150503,SCOOTER,approved,2023-11-25 02:08:11.344000+05:30
FKID196856,12.9770397,77.5800512,"1st Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL74793,MAXI-CAB,"[""WRONG PARKING""]",[112],2023-12-21 12:16:46+05:30,,2023-12-21 12:19:49.747048+05:30,FKDEV00382,FKUSR00379,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL74793,MAXI-CAB,approved,2023-12-22 03:55:48.717000+05:30
